S no,Name,team,Type,identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2
86,Jordan Cox ,RCB,1,ff154ecd,JM Cox,JM Cox,0,0,0,0,0,0,1112537,0,0,0,1876958,0,0,deab5955-0af0-4095-a8fd-f322945022ed,0,0,0,5463,0
87,Prabhsimran Singh ,PBKS,1,9418198b,P Simran Singh,P Simran Singh,yibzO1G0KiJeQAeicUIOCJJiihLJVIX,0,0,0,0,0,1161024,0,0,0,1573619,0,0,0,0,0,0,5436,0
88,Priyansh Arya ,PBKS,1,b5797845,Priyansh Arya,Priyansh Arya,2017b5036d9dc05e11e792a5028d29d,0,0,0,0,0,1175456,0,0,0,0,0,0,0,0,0,0,0,0
89,Shreyas Iyer ,PBKS,1,85ec8e33,SS Iyer,SS Iyer,hzIiKiUiIOXLcQJybJ0JJiCiVOGA1ee,0,0,0,0,0,642519,0,0,0,967227,0,0,0,0,0,0,1563,0
90,Shashank Singh ,PBKS,1,26989d80,Shashank Singh,Shashank Singh,yUKJVeei1XiJAIGhcCQLJi0JOIiibzO,0,0,0,0,0,377534,0,0,0,0,0,0,0,0,0,0,0,0
91,Nehal Wadhera ,PBKS,1,d1a60072,N Wadhera,N Wadhera,0,0,0,0,0,0,1151273,0,0,0,0,0,0,0,0,0,0,0,0
92,Marcus Stoinis ,PBKS,3,d9273ee7,MP Stoinis,MP Stoinis,0,0,5957,0,0,0,325012,0,0,0,246389,0,0,0,0,0,0,964,0
93,Azmatullah Omarzai ,PBKS,3,8f6dd463,Azmatullah Omarzai,Azmatullah Omarzai,0,0,0,0,0,0,819429,0,0,0,0,0,0,0,0,0,0,4823,0
94,Marco Jansen ,PBKS,2,81c36ee9,M Jansen,M Jansen,0,0,0,0,0,0,696401,0,0,0,1579425,0,60394,0,0,0,0,17068,0
95,Harpreet Brar ,PBKS,2,c05edf8e,Harpreet Brar,Harpreet Brar,2018566b707bdc2011e8a30e02726df,0,0,0,0,0,1168641,0,0,0,1193197,0,0,0,0,0,0,5441,0
96,Yuzvendra Chahal ,PBKS,2,57ee1fde,YS Chahal,YS Chahal,iiziL0iOie1JbKeJVIGcCJXIyUhAJQO,0,0,0,0,0,430246,0,0,0,166261,0,0,296e7eae-bce8-43bc-b5df-8611fe9500ee,0,0,0,111,0
97,Arshdeep Singh ,PBKS,2,244048f6,Arshdeep Singh,Arshdeep Singh,iQeIbXAcUiLihJ0yJeVOJOiJiC1KGIz,0,0,0,0,0,1125976,0,0,0,1732022,0,0,0,0,0,0,4698,0
98,Musheer Khan ,PBKS,3,d621b427,Musheer Khan,Musheer Khan,0,0,0,0,0,0,1316430,0,0,0,0,0,0,0,0,0,0,0,0
99,Suryansh Shedge ,PBKS,3,970ddd24,Suryansh Shedge,Suryansh Shedge,0,0,0,0,0,0,1339698,0,0,0,0,0,0,0,0,0,0,0,0
100,Mitchell Owen ,PBKS,3,f2c936d7,MJ Owen,MJ Owen,0,0,0,0,0,0,1213979,0,0,0,0,0,0,0,0,0,0,0,0
